to_station_name,count
Michigan Ave & Ida B Wells Dr,1358
LaSalle St & Adams St,1357
Clark St & North Ave,1354
Fairbanks St & Superior St,1347
Cornell Ave & Hyde Park Blvd,1337
Burnham Harbor,1335
Racine Ave & Congress Pkwy,1314
Greenview Ave & Fullerton Ave,1311
Dearborn St & Van Buren St,1310
Field Museum,1292
Clark St & Newport St,1280
Ashland Ave & Blackhawk St,1276
Calumet Ave & 18th St,1274
Lincoln Ave & Belmont Ave,1262
Blue Island Ave & 18th St,1247
Racine Ave & Randolph St,1240
Wells St & Walton St,1235
Clinton St & Roosevelt Rd,1231
Lake Park Ave & 56th St,1226
Throop (Loomis) St & Taylor St,1213
Clybourn Ave & Division St,1206
Noble St & Milwaukee Ave,1202
Woodlawn Ave & 55th St,1195
Racine Ave & Belmont Ave,1194
Larrabee St & Armitage Ave,1194
Halsted St & Willow St,1194
Western Ave & Walton St,1173
Paulina Ave & North Ave,1161
Elizabeth (May) St & Fulton St,1161
Southport Ave & Wrightwood Ave,1159
Western Ave & Leland Ave,1157
Delano Ct & Roosevelt Rd,1151
Benson Ave & Church St,1143
Wood St & Taylor St,1138
Damen Ave & Thomas St (Augusta Blvd),1127
State St & 33rd St,1118
Southport Ave & Belmont Ave,1107
Eckhart Park,1101
Wood St & Chicago Ave (*),1095
Southport Ave & Irving Park Rd,1082
Shore Dr & 55th St,1070
Damen Ave & Leland Ave,1058
Paulina St & Flournoy St,1056
Broadway & Argyle St,1051
Broadway & Berwyn Ave,1043
Ashland Ave & Wrightwood Ave,1041
Ellis Ave & 53rd St,1038
Ashland Ave & Lake St,1035
Wood St & Augusta Blvd,1028
Clark St & Grace St,1018
Ashland Ave & Chicago Ave,1018
MLK Jr Dr & 29th St,1008
Artesian Ave & Hubbard St,1005
Racine Ave & 18th St,993
Buckingham Fountain,981
Clark St & Leland Ave,978
Harper Ave & 59th St,974
Wentworth Ave & Cermak Rd (Temp),971
Ravenswood Ave & Irving Park Rd,969
Racine Ave & Wrightwood Ave,968
Lakefront Trail & Bryn Mawr Ave,964
Ashland Ave & Augusta Blvd,963
McCormick Place,952
Larrabee St & Menomonee St,949
Racine Ave & Washington Blvd (*),947
Hermitage Ave & Polk St,942
Morgan St & 18th St,897
Morgan Ave & 14th Pl,881
Greenview Ave & Diversey Pkwy,876
Leavitt St & North Ave,875
Clarendon Ave & Junior Ter,873
Wood St & Hubbard St,865
Clark St & Bryn Mawr Ave,865
Logan Blvd & Elston Ave,862
Ashland Ave & Grace St,860
Lincoln Ave & Belle Plaine Ave,842
Loomis St & Jackson Blvd,840
Damen Ave & Grand Ave,838
Orleans St & Elm St,829
Lake Park Ave & 53rd St,827
Lincoln Ave & Sunnyside Ave,823
Lincoln Ave & Waveland Ave,805
Clark St & 9th St (AMLI),802
Clark St & Montrose Ave,797
Ashland Ave & Grand Ave,796
Sheridan Rd & Buena Ave,793
Montrose Harbor,790
Western Ave & Division St,790
Campbell Ave & North Ave,776
California Ave & Cortez St,769
Leavitt St & Chicago Ave,769
Broadway & Ridge Ave,767
Broadway & Thorndale Ave,756
Kedzie Ave & Palmer Ct,753
Wolcott (Ravenswood) Ave & Montrose Ave,749
Blackstone Ave & Hyde Park Blvd,727
Paulina St & 18th St,725
Damen Ave & Charleston St,725
Sheridan Rd & Loyola Ave,712
Sheridan Rd & Noyes St (NU),710
Seeley Ave & Roscoe St,707
Calumet Ave & 21st St,705
Ashland Ave & Wellington Ave,704
Clark St & Lunt Ave,703
Damen Ave & Clybourn Ave,699
Damen Ave & Foster Ave,696
Claremont Ave & Hirsch St,695
Leavitt St & Armitage Ave,691
Larrabee St & North Ave,682
Broadway & Granville Ave,681
Winthrop Ave & Lawrence Ave,673
Humboldt Blvd & Armitage Ave,673
Milwaukee Ave & Rockwell St,673
Albany Ave & Bloomingdale Ave,673
Canal St & Harrison St,670
Cannon Dr & Fullerton Ave,668
Sedgwick St & Schiller St,668
Spaulding Ave & Armitage Ave,666
Emerald Ave & 31st St,641
Damen Ave & Wellington Ave,630
Wabash Ave & Cermak Rd,623
Winchester Ave & Elston Ave,618
Marine Dr & Ainslie St,606
Lakefront Trail & Wilson Ave,601
Calumet Ave & 33rd St,597
California Ave & Francis Pl (Temp),595
California Ave & North Ave,588
Chicago Ave & Washington St,564
Elston Ave & Wabansia Ave,562
Fort Dearborn Dr & 31st St,561
Clinton St & 18th St,556
Paulina St & Howard St,546
Ravenswood Ave & Berteau Ave,536
Clarendon Ave & Leland Ave,536
Ashland Ave & Belle Plaine Ave,531
Clark St & Elmdale Ave,520
State St & 35th St,517
Sheridan Rd & Lawrence Ave,513
Talman Ave & Addison St,513
Indiana Ave & 31st St,504
Campbell Ave & Fullerton Ave,502
University Library (NU),502
Leavitt St & Division St (*),501
Damen Ave & Madison St,496
Campbell Ave & Montrose Ave,494
State St & 19th St,493
Walsh Park,490
Museum of Science and Industry,490
Southport Ave & Clark St,487
Glenwood Ave & Morse Ave,487
Western Ave & Roscoe St,487
Ashland Ave & 13th St,487
Paulina St & Montrose Ave,477
Western Ave & Fillmore St (*),475
California Ave & Altgeld St,456
Indiana Ave & 26th St,446
Stave St & Armitage Ave,443
Halsted St & 18th St,438
Richmond St & Diversey Ave,436
Rockwell St & Eastwood Ave,434
Damen Ave & Sunnyside Ave,430
Lincoln Ave & Addison St,430
Damen Ave & Walnut (Lake) St (*),423
Halsted St & Archer Ave,423
Drake Ave & Fullerton Ave,416
Chicago Ave & Dempster St,416
Greenview Ave & Jarvis Ave,413
Damen Ave & Melrose Ave,406
Winchester (Ravenswood) Ave & Balmoral Ave,400
Sheridan Rd & Columbia Ave,399
Washtenaw Ave & Lawrence Ave,395
California Ave & Fletcher St,394
Leavitt St & Lawrence Ave,393
Halsted St & North Branch St,390
Racine Ave & 15th St,389
Avondale Ave & Irving Park Rd,388
Wentworth Ave & 24th St (Temp),387
Eastlake Ter & Rogers Ave,385
Chicago Ave & Sheridan Rd,385
Kosciuszko Park,380
May St & Cullerton St,376
Lake Park Ave & 47th St,364
Central St Metra,360
Oakley Ave & Irving Park Rd,354
Emerald Ave & 28th St,353
Troy St & Elston Ave,352
Leavitt St & Belmont Ave (*),349
California Ave & Montrose Ave,346
Morgan St & 31st St,341
Shields Ave & 31st St,339
Clinton St & Polk St,336
Lincoln Ave & Winona St,335
Western Ave & Congress Pkwy,334
Greenwood Ave & 47th St,329
Drake Ave & Addison St,324
Loomis St & Archer Ave,320
Damen Ave & Cullerton St,319
Western Ave & Monroe St,307
Ashland Ave & 21st St,304
Wells St & 19th St,303
